Category,Subcategory,q11,r11,gp11,gm11_pct,q12,r12,gp12,gm12_pct,revenue_change,gp_change,gm_pct_change,price_effect,unit_cost_effect,volume_effect,mix_effect,reconciled_gp_change,residual,growth_quality_tier
Components,Pedals,0.0,0.0,0.0,,237.0,8615.358,2239.9836,0.2599988996394578,8615.358,2239.9836,,0.0,0.0,631.2502292813845,1608.7333707186156,2239.9836,0.0,Other
Components,Cranksets,0.0,0.0,0.0,,35.0,5912.79,1537.324,0.2599997632251441,5912.79,1537.324,,0.0,0.0,93.22260769978251,1444.1013923002174,1537.324,0.0,Other
Accessories,Hydration Packs,0.0,0.0,0.0,,104.0,3304.4371,1165.5419,0.35272025604602975,3304.4371,1165.5419,,0.0,0.0,277.0043200222109,888.537579977789,1165.5419,4.8e-15,Other
Components,Saddles,0.0,0.0,0.0,,109.0,2625.012,682.4995,0.25999862095868514,2625.012,682.4995,,0.0,0.0,290.3218354078941,392.1776645921059,682.4995,0.0,Other
Components,Brakes,0.0,0.0,0.0,,34.0,2172.6,564.876,0.26,2172.6,564.876,,0.0,0.0,90.55910462264588,474.3168953773541,564.876,0.0,Other
Components,Derailleurs,0.0,0.0,0.0,,30.0,1826.64,474.926,0.259999781018701,1826.64,474.926,,0.0,0.0,79.9050923140993,395.0209076859007,474.926,0.0,Other
Components,Bottom Brackets,0.0,0.0,0.0,,21.0,1125.774,292.7004,0.2599992538466868,1125.774,292.7004,,0.0,0.0,55.933564619869514,236.7668353801305,292.7004,0.0,Other
Accessories,Cleaners,0.0,0.0,0.0,,159.0,715.9778,243.2231,0.33970759987251004,715.9778,243.2231,,0.0,0.0,423.4969892647263,-180.2738892647263,243.22310000000002,-3.1e-15,Other
Accessories,Bottles and Cages,0.0,0.0,0.0,,133.0,368.2246,120.0067,0.3259062539547874,368.2246,120.0067,,0.0,0.0,354.2459092591736,-234.23920925917358,120.0067,3.2e-19,Other
Components,Chains,0.0,0.0,0.0,,19.0,230.736,59.9906,0.2599967061923584,230.736,59.9906,,0.0,0.0,50.60655846559622,9.384041534403776,59.9906,0.0,Other
Accessories,Tires and Tubes,0.0,0.0,0.0,,60.0,82.44,31.05,0.37663755458515286,82.44,31.05,,0.0,0.0,159.8101846281986,-128.7601846281986,31.05,0.0,Other
Clothing,Caps,848.0,4368.4935,-398.6666,-0.0912595154370723,1569.0,7935.8465,-535.291,-0.06745228754109596,3567.353,-136.6244,0.02380722789597634,57.43457852348992,0.0,1920.3857186155199,-2114.44469713901,-136.6244,1.648818e-14,Other
Clothing,Socks,979.0,5351.8461,2026.8684,0.37872322225409283,205.0,1077.0631,387.7916,0.3600453863845117,-4274.783,-1639.0768,-0.018677835869581112,0.0,0.0,-2061.551381703762,422.47458170376206,-1639.0768,-4.6e-14,Tier 4: Contraction
Components,Touring Frames,0.0,0.0,0.0,,248.0,106469.6835,-2171.6823,-0.020397189402746745,106469.6835,-2171.6823,,0.0,0.0,660.5487631298876,-2832.2310631298874,-2171.6823,-1.7e-15,Other
Clothing,Jerseys,1724.0,49478.8929,-4320.4021,-0.08731808346504051,3680.0,105794.6756,-9959.4464,-0.09413939164250341,56315.7827,-5639.0443,-0.0068213081774629114,229.86223000290096,0.0,5209.812018879275,-11078.718548882176,-5639.0443,-4.847089e-14,Tier 3: Value-Destructive Growth
Bikes,Touring Bikes,0.0,0.0,0.0,,552.0,379339.1469,-136107.2104,-0.3588008554146933,379339.1469,-136107.2104,,0.0,0.0,1470.2536985794272,-137577.46409857942,-136107.2104,-4e-16,Other
Bikes,Road Bikes,7274.0,5490315.6881,-68879.612,-0.012545656008322673,13896.0,9820379.1155,-351997.2672,-0.03584355176720468,4330063.4274,-283117.6552,-0.023297895758882012,325342.6776059667,0.0,17637.717376798853,-626098.0501827656,-283117.6552,1.395e-13,Tier 3: Value-Destructive Growth
