Category,Subcategory,cy2011_net_revenue,cy2012_net_revenue,revenue_change,revenue_growth_pct,cy2011_gross_profit,cy2012_gross_profit,gross_profit_change,gross_profit_growth_pct,cy2011_gross_margin_pct,cy2012_gross_margin_pct,gross_margin_change_ppt,price_effect,unit_cost_effect,volume_effect,mix_effect,growth_quality_tier
Components,Brakes,0.0,2172.6,2172.6,,0.0,564.876,564.876,,,0.26,,0.0,0.0,90.55910462264588,474.3168953773541,Tier 1 - High-quality growth (New Segment Entry)
Components,Derailleurs,0.0,1826.64,1826.64,,0.0,474.926,474.926,,,0.259999781018701,,0.0,0.0,79.9050923140993,395.0209076859007,Tier 1 - High-quality growth (New Segment Entry)
Components,Bottom Brackets,0.0,1125.774,1125.774,,0.0,292.7004,292.7004,,,0.2599992538466868,,0.0,0.0,55.933564619869514,236.7668353801305,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Cleaners,0.0,715.9778,715.9778,,0.0,243.2231,243.2231,,,0.33970759987251004,,0.0,0.0,423.4969892647263,-180.2738892647263,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Bottles and Cages,0.0,368.2246,368.2246,,0.0,120.0067,120.0067,,,0.3259062539547874,,0.0,0.0,354.2459092591736,-234.23920925917358,Tier 1 - High-quality growth (New Segment Entry)
Components,Chains,0.0,230.736,230.736,,0.0,59.9906,59.9906,,,0.2599967061923584,,0.0,0.0,50.60655846559622,9.384041534403776,Tier 1 - High-quality growth (New Segment Entry)
Accessories,Tires and Tubes,0.0,82.44,82.44,,0.0,31.05,31.05,,,0.37663755458515286,,0.0,0.0,159.8101846281986,-128.7601846281986,Tier 1 - High-quality growth (New Segment Entry)
Clothing,Caps,4368.4935,7935.8465,3567.353,81.66094329772953,-398.6666,-535.291,-136.6244,-34.27034017898665,-0.0912595154370723,-0.06745228754109596,0.02380722789597634,57.43457852348992,0.0,1920.3857186155199,-2114.44469713901,Other Special Case
Clothing,Socks,5351.8461,1077.0631,-4274.783,-79.87492390709815,2026.8684,387.7916,-1639.0768,-80.86745049653939,0.37872322225409283,0.3600453863845117,-0.018677835869581112,0.0,0.0,-2061.551381703762,422.47458170376206,Tier 4 - Contraction
Components,Touring Frames,0.0,106469.6835,106469.6835,,0.0,-2171.6823,-2171.6823,,,-0.020397189402746745,,0.0,0.0,660.5487631298876,-2832.2310631298874,Tier 3 - Value-destructive growth (New Segment Entry)
Clothing,Jerseys,49478.8929,105794.6756,56315.7827,113.81779057550418,-4320.4021,-9959.4464,-5639.0443,-130.52128411843887,-0.08731808346504051,-0.09413939164250341,-0.0068213081774629114,229.86223000290096,0.0,5209.812018879275,-11078.718548882176,Tier 3 - Value-destructive growth
Bikes,Touring Bikes,0.0,379339.1469,379339.1469,,0.0,-136107.2104,-136107.2104,,,-0.3588008554146933,,0.0,0.0,1470.2536985794272,-137577.46409857942,Tier 3 - Value-destructive growth (New Segment Entry)
Bikes,Road Bikes,5490315.6881,9820379.1155,4330063.4274,78.8672942210811,-68879.612,-351997.2672,-283117.6552,-411.03259292459427,-0.012545656008322673,-0.03584355176720468,-0.023297895758882012,325342.6776059667,0.0,17637.717376798853,-626098.0501827656,Tier 3 - Value-destructive growth
